name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,developer
Tony Hawk'S Pro Skater,PlayStation,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02,Neversoft Entertainment
Warzone 2100,PlayStation,1999,Strategy,Eidos Interactive,2.79,1.89,0.0,0.33,5.01,Unknown
Spyro The Dragon,PlayStation,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5.0,Unknown
Guitar Hero Iii: Legends Of Rock,PlayStation 2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98,"Neversoft Entertainment, BudCat"
Link'S Crossbow Training,Nintendo Wii,2007,Shooter,Nintendo,3.05,1.17,0.29,0.46,4.98,Nintendo
Pokemon Mystery Dungeon: Explorers Of Time & Explorers Of Darkness,Nintendo DS,2007,Role Playing,Nintendo,1.83,1.19,1.54,0.37,4.93,Unknown
Fallout 3,Xbox 360,2008,Role Playing,Bethesda Softworks,3.4,0.99,0.09,0.45,4.93,Bethesda Game Studios
Uncharted: Drake'S Fortune,PlayStation 3,2007,Action,Sony Computer Entertainment,2.31,1.72,0.12,0.77,4.92,"Naughty Dog, SCE/WWS"
Madden Nfl 06,PlayStation 2,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,EA Sports
Diddy Kong Racing,Nintendo 64,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88,Unknown
Monster Hunter Freedom 3,PlayStation Portable,2010,Role Playing,Capcom,0.0,0.0,4.87,0.0,4.87,Unknown
Super Smash Bros. For Wii U And 3Ds,Nintendo Wii U,2014,Fighting,Nintendo,2.6,1.08,0.81,0.38,4.87,Unknown
Dr. Mario,Nintendo Entertainment System,1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85,Unknown
Starcraft Ii: Wings Of Liberty,Personal Computer,2010,Strategy,Activision,2.57,1.68,0.0,0.58,4.84,Blizzard Entertainment
Assassin'S Creed,PlayStation 3,2007,Adventure,Ubisoft,1.91,2.0,0.09,0.82,4.82,Ubisoft Montreal
God Of War Iii,PlayStation 3,2010,Action,Sony Computer Entertainment,2.74,1.33,0.12,0.61,4.8,SCE Santa Monica
Crash Team Racing,PlayStation,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,Naughty Dog
Lego Star Wars: The Complete Saga,Nintendo DS,2007,Action,Lucasarts,2.83,1.48,0.0,0.45,4.76,TT Fusion
Driver 2,PlayStation,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73,Reflections Interactive
Batman: Arkham City,Xbox 360,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,4.73,Rocksteady Studios
The Last Of Us,PlayStation 4,2014,Action,Sony Computer Entertainment,1.88,2.0,0.07,0.77,4.71,Unknown
The Simpsons: Hit & Run,PlayStation 2,2003,Racing,Vivendi Games,1.73,2.19,0.0,0.79,4.7,Unknown
Tony Hawk'S Pro Skater 2,PlayStation,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68,Neversoft Entertainment
The Lord Of The Rings: The Two Towers,PlayStation 2,2002,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67,Stormfront Studios
Tomb Raider,PlayStation,1996,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,Core Design Ltd.
Animal Crossing: City Folk,Nintendo Wii,2008,Simulation,Nintendo,1.82,1.12,1.32,0.36,4.62,Nintendo
Uncharted: The Nathan Drake Collection,PlayStation 4,2015,Action,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62,Bluepoint Games
The Legend Of Zelda: A Link To The Past,Super Nintendo Entertainment System,1991,Action,Nintendo,2.42,0.91,1.15,0.13,4.61,Unknown
The Legend Of Zelda: The Wind Waker,GameCube,2002,Action,Nintendo,2.6,0.99,0.89,0.13,4.6,Nintendo
Guitar Hero Iii: Legends Of Rock,Nintendo Wii,2007,Misc,Activision,3.04,1.11,0.0,0.43,4.6,Vicarious Visions
Luigi'S Mansion: Dark Moon,Nintendo 3DS,2013,Action,Nintendo,1.8,1.39,1.11,0.29,4.59,Next Level Games
Forza Motorsport 4,Xbox 360,2011,Racing,Microsoft Game Studios,2.08,1.97,0.06,0.46,4.57,Turn 10
Mario & Sonic At The Olympic Winter Games,Nintendo Wii,2009,Sports,Sega,1.87,1.96,0.22,0.48,4.53,Unknown
Madden Nfl 2005,PlayStation 2,2004,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53,EA Tiburon
Guitar Hero Iii: Legends Of Rock,Xbox 360,2007,Misc,Activision,3.19,0.91,0.01,0.42,4.53,Neversoft Entertainment
Pitfall!,Atari 2600,1981,Platform,Activision,4.21,0.24,0.0,0.05,4.5,Unknown
Madden Nfl 07,PlayStation 2,2006,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49,EA Sports
Halo 5: Guardians,Xbox One,2015,Shooter,Microsoft Game Studios,2.78,1.27,0.03,0.41,4.48,343 Industries
Spider-Man: The Movie,PlayStation 2,2002,Action,Activision,2.71,1.51,0.03,0.23,4.48,Treyarch
Dragon Quest Vii: Warriors Of Eden,PlayStation,2000,Role Playing,Enix Corporation,0.2,0.14,4.1,0.02,4.47,Unknown
Call Of Duty: Infinite Warfare,PlayStation 4,2016,Shooter,Activision,1.61,2.0,0.15,0.71,4.46,Infinity Ward
God Of War,PlayStation 2,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,SCE Santa Monica
Splatoon,Nintendo Wii U,2015,Shooter,Nintendo,1.54,1.18,1.46,0.26,4.43,Nintendo
